,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp,STATION CODE,LOCATIONS,State
0,3.007691087800165,2.704289200395827,2.05559589739007,2050.0,2050.0,2050.0,2103.670076147586,1012.2970645730472,538.3452242909208,2.5,2.5,2.5,23.0,23.0,23.0,400.0,400.0,400.0,7.0,7.0,7.0,3.1707964601769913,2.6238938053097334,2.198230088495573,2050.0,2050.0,2050.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,23.0,23.0,400.0,400.0,400.0,1513.0,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",andhra_pradesh
1,3.052191905044328,2.674690469161195,2.1209119425690988,1639.0,1639.0,1639.0,2168.1553355703268,999.4467615437242,549.3799505547172,1.2,1.2,1.2,23.0,23.0,23.0,400.0,400.0,400.0,7.3,7.3,7.3,3.1707964601769913,2.6238938053097334,2.198230088495573,1639.0,1639.0,1639.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,23.0,23.0,400.0,400.0,400.0,1514.0,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",andhra_pradesh
2,0.6,0.6,0.6,1569.0,1569.0,1569.0,1939.3482756567669,1041.6657420427398,517.9415361609523,2.8,2.8,2.8,19.0,19.0,19.0,400.0,400.0,400.0,7.4,7.4,7.4,0.6,0.6,0.6,1569.0,1569.0,1569.0,1887.5023041474653,1088.8341013824884,562.2764976958525,19.0,19.0,19.0,400.0,400.0,400.0,1515.0,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",andhra_pradesh
3,2.9451701785444224,2.7249499815842326,2.009315005342236,1119.0,1119.0,1119.0,2429.417486393882,948.7241494790429,590.0803903705602,0.5,0.5,0.5,29.0,29.0,29.0,400.0,400.0,400.0,7.4,7.4,7.4,3.1707964601769913,2.6238938053097334,2.198230088495573,1119.0,1119.0,1119.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,29.0,29.0,400.0,400.0,400.0,1516.0,B W OF NAVLOK GARDENS NELLORE AP,andhra_pradesh
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,30.6,28.5,27.0,40.0,32.0,20.0,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",andhra_pradesh
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,35.0,29.6,27.0,50.0,36.0,20.0,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",andhra_pradesh
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,37.0,29.2,27.0,30.0,30.0,30.0,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",andhra_pradesh
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,39.5,31.1,27.0,40.0,34.0,20.0,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",andhra_pradesh
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,25.0,25.0,25.0,120.0,120.0,120.0,1521.0,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",andhra_pradesh
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,29.0,26.0,25.0,150.0,84.0,4.0,1522.0,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",andhra_pradesh
10,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,0.2,0.2,0.2,27.0,27.0,27.0,14.0,14.0,14.0,7.9,7.9,7.9,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,27.0,27.0,27.0,14.0,14.0,14.0,1523.0,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",andhra_pradesh
